zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
49831,Standard,Felch,"Felch, MI",Dickinson County,MI,46.1,-87.7
49833,PO Box,Little Lake,"Little Lake, MI",Marquette County,MI,46.29,-87.32
49834,Standard,Foster City,"Foster City, MI",Dickinson County,MI,45.98,-87.73
49835,Standard,Garden,"Garden, MI",Delta County,MI,45.7,-86.6
49836,Standard,Germfask,"Germfask, MI",Schoolcraft County,MI,46.2,-85.9
49837,Standard,Gladstone,"Gladstone, MI",Delta County,MI,45.9,-87.1
49838,Standard,Gould City,"Gould City, MI",Mackinac County,MI,46.1,-85.7
49839,PO Box,Grand Marais,"Grand Marais, MI",Alger County,MI,46.6,-86.2
49840,Standard,Gulliver,"Gulliver, MI",Schoolcraft County,MI,46,-86
49841,Standard,Gwinn,"Gwinn, MI",Marquette County,MI,46.3,-87.5
49845,PO Box,Harris,NA,Menominee County,MI,45.7028791,-87.3490853
49847,Standard,Hermansville,"Hermansville, MI",Menominee County,MI,45.7,-87.6
49848,Standard,Ingalls,"Ingalls, MI",Menominee County,MI,45.37,-87.64
49849,Standard,Ishpeming,"Ishpeming, MI",Marquette County,MI,46.6,-87.8
49852,Standard,Loretto,"Loretto, MI",Dickinson County,MI,45.78,-87.817
49853,Standard,Mc Millan,"Mc Millan, MI",Luce County,MI,46.4,-85.8
49854,Standard,Manistique,"Manistique, MI",Schoolcraft County,MI,46.1,-86.3
49855,Standard,Marquette,"Marquette, MI",Marquette County,MI,46.6,-87.3
49858,Standard,Menominee,"Menominee, MI",Menominee County,MI,45.2,-87.6
49861,Standard,Michigamme,"Michigamme, MI",Marquette County,MI,46.7,-88.2
49862,Standard,Munising,"Munising, MI",Alger County,MI,46.4,-86.6
49863,PO Box,Nadeau,"Nadeau, MI",Menominee County,MI,45.6111,-87.5532
49864,PO Box,Nahma,"Nahma, MI",Delta County,MI,45.84,-86.663
49865,PO Box,National Mine,NA,Marquette County,MI,46.49,-87.67
49866,Standard,Negaunee,"Negaunee, MI",Marquette County,MI,46.5,-87.6
49868,Standard,Newberry,"Newberry, MI",Luce County,MI,46.5,-85.6
49870,Standard,Norway,"Norway, MI",Dickinson County,MI,45.8,-87.9
49871,PO Box,Palmer,"Palmer, MI",Marquette County,MI,46.441,-87.59
49872,PO Box,Perkins,"Perkins, MI",Delta County,MI,45.97,-87.08
49873,Standard,Perronville,"Perronville, MI",Menominee County,MI,45.9,-87.5
49874,Standard,Powers,"Powers, MI",Menominee County,MI,45.7,-87.51
49876,Standard,Quinnesec,"Quinnesec, MI",Dickinson County,MI,45.78,-87.98
49877,PO Box,Ralph,"Ralph, MI",Dickinson County,MI,46.103,-87.784
49878,Standard,Rapid River,"Rapid River, MI",Delta County,MI,45.9,-86.8
49879,Standard,Republic,"Republic, MI",Marquette County,MI,46.4,-88
49880,Standard,Rock,"Rock, MI",Delta County,MI,46.1,-87.2
49881,Standard,Sagola,"Sagola, MI",Dickinson County,MI,46.1,-88
49883,Standard,Seney,"Seney, MI",Schoolcraft County,MI,46.4,-86.1
49884,Standard,Shingleton,"Shingleton, MI",Alger County,MI,46.4,-86.5
49885,Standard,Skandia,"Skandia, MI",Marquette County,MI,46.3,-87.2
49886,Standard,Spalding,"Spalding, MI",Menominee County,MI,45.71,-87.49
49887,Standard,Stephenson,"Stephenson, MI",Menominee County,MI,45.5,-87.6
49891,Standard,Trenary,"Trenary, MI",Alger County,MI,46.3,-87
49892,Standard,Vulcan,"Vulcan, MI",Dickinson County,MI,45.8,-87.8
49893,Standard,Wallace,"Wallace, MI",Menominee County,MI,45.3,-87.6
49894,Standard,Wells,"Wells, MI",Delta County,MI,45.78,-87.07
49895,Standard,Wetmore,"Wetmore, MI",Alger County,MI,46.2,-86.7
49896,Standard,Wilson,"Wilson, MI",Menominee County,MI,45.7,-87.4
49901,PO Box,Ahmeek,"Ahmeek, MI",Keweenaw County,MI,47.31,-88.4
49902,PO Box,Alpha,"Alpha, MI",Iron County,MI,46.05,-88.38
49903,PO Box,Amasa,"Amasa, MI",Iron County,MI,46.2328,-88.4475
49905,Standard,Atlantic Mine,"Atlantic Mine, MI",Houghton County,MI,47.1,-88.7
49908,Standard,Baraga,"Baraga, MI",Baraga County,MI,46.8,-88.5
49910,Standard,Bergland,"Bergland, MI",Ontonagon County,MI,46.6,-89.7
49911,Standard,Bessemer,"Bessemer, MI",Gogebic County,MI,46.5,-90
49912,Standard,Bruce Crossing,"Bruce Crossing, MI",Ontonagon County,MI,46.5,-89.2
49913,Standard,Calumet,"Calumet, MI",Houghton County,MI,47.2,-88.4
