x,y,order,hole,piece,group,fips,abbr,full,county
1002722.17,-2111194.219,55425,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1001845.744,-2110900.242,55426,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1001451.352,-2111571.875,55427,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1001119.279,-2111718.313,55428,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000798.877,-2111645.645,55429,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000368.371,-2111847.575,55430,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999976.8415,-2111898.003,55431,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000014.937,-2112699.999,55432,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999798.4733,-2113105.181,55433,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999575.403,-2113097.914,55434,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999022.2413,-2113831.426,55435,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998642.3831,-2113771.309,55436,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998151.0999,-2113588.096,55437,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997753.6251,-2113177.85,55438,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997468.236,-2113049.689,55439,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997312.7694,-2112798.872,55440,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
996674.6076,-2112432.006,55441,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
996498.6617,-2111951.513,55442,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
995932.5078,-2111526.512,55443,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
995553.3103,-2111388.442,55444,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
995201.1982,-2111626.487,55445,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
995060.7057,-2111879.065,55446,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994739.2026,-2112093.327,55447,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994412.6346,-2112637.68,55448,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994129.0072,-2112705.504,55449,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994125.0434,-2112974.158,55450,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994387.0905,-2113358.86,55451,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994278.5282,-2113616.503,55452,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993932.8022,-2113492.306,55453,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994089.1496,-2113880.532,55454,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994478.9171,-2114163.279,55455,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993826.8823,-2114652.8,55456,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993588.1772,-2114299.367,55457,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993180.793,-2114274.263,55458,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
992488.4602,-2114751.013,55459,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
992103.5372,-2114870.145,55460,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
991776.0885,-2114741.104,55461,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
991279.0798,-2114917.93,55462,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
991064.5975,-2115313.864,55463,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
990599.2988,-2115338.087,55464,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
990253.3526,-2115074.498,55465,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
990135.9819,-2114727.231,55466,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989789.3751,-2114789.77,55467,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989440.3459,-2114623.293,55468,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989143.506,-2114637.386,55469,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
988300.7714,-2114473.992,55470,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
987257.8679,-2113762.281,55471,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986780.0173,-2113765.364,55472,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
